题目1: 817.0÷344.0+544.0=
题目4903: 680.0×523.0+270.0=
题目4904: 253.0+78.0=
题目4905: 977.0×519.0×296.0=
题目4906: 96.0÷110.0+739.0=
题目4907: 423.0÷189.0÷610.0=
题目4908: 972.0×216.0=
题目4909: (961.0-467.0)÷337.0=
题目4910: 396.0+335.0÷916.0=
题目4911: 607.0×753.0=
题目4912: (561.0-297.0)×470.0=
题目4913: 988.0×824.0=
题目4914: 496.0×890.0+363.0=
题目4915: (991.0-443.0)÷942.0=
题目4916: 91.0×209.0=
题目4917: 711.0×255.0=
题目4918: 774.0-386.0=
题目4919: 341.0+869.0-745.0=
题目4920: (534.0-185.0)×405.0=
题目4921: 38.0+977.0-888.0=
题目4922: (896.0-689.0)×985.0=
题目4923: 994.0-891.0=
题目4924: 573.0+34.0=
题目4925: 499.0+316.0=
题目4926: 559.0+56.0=
题目4927: 377.0+794.0=
题目4928: 989.0÷69.0=
题目4929: 180.0+652.0=
题目4930: 790.0×116.0=
题目4931: 310.0+65.0+621.0=
题目4932: 768.0÷712.0÷551.0=
题目4933: 167.0+214.0×726.0=
题目4934: 819.0×688.0=
题目4935: 760.0÷469.0=
题目4936: (275.0-196.0)×997.0=
题目4937: 488.0×397.0=
题目4938: 887.0-303.0+870.0=
题目4939: 415.0÷110.0=
题目4940: 935.0×406.0=
题目4941: 237.0×135.0=
题目4942: 973.0+892.0=
题目4943: 957.0×974.0=
题目4944: 525.0-389.0-122.0=
题目4945: 786.0+477.0=
题目4946: 83.0+250.0×196.0=
题目4947: 185.0+633.0+959.0+740.0=
题目4948: 735.0÷222.0+186.0=
题目4949: 753.0÷802.0=
题目4950: 509.0-419.0+158.0=
题目4951: 622.0+694.0÷267.0=
题目4952: 79.0+846.0=
题目4953: 989.0+161.0=
题目4954: 318.0+643.0=
题目4955: 482.0+731.0=
题目4956: 898.0-262.0=
题目4957: (688.0-416.0)×363.0=
题目4958: 90.0÷587.0÷811.0=
题目4959: 84.0÷188.0=
题目4960: 582.0+531.0×913.0=
题目4961: 434.0÷776.0=
题目4962: 549.0×476.0=
题目4963: 487.0-109.0=
题目4964: 113.0×162.0+834.0=
题目4965: 103.0+928.0×679.0+693.0=
题目4966: 671.0×901.0×451.0=
题目4967: 253.0×242.0=
题目4968: 423.0÷855.0×468.0=
题目4969: 865.0÷722.0×597.0=
题目4970: 906.0÷704.0=
题目4971: 560.0-107.0=
题目4972: 487.0×636.0=
题目4973: 535.0÷362.0÷969.0=
题目4974: 988.0×437.0=
题目4975: 465.0÷997.0÷985.0=
题目4976: 354.0+344.0=
题目4977: 423.0÷642.0=
题目4978: 354.0÷384.0=
题目4979: 816.0×437.0=
题目4980: 543.0÷442.0=
题目4981: 350.0+333.0=
题目4982: 264.0÷433.0=
题目4983: 377.0+698.0+193.0+751.0=
题目4984: 278.0÷949.0+275.0=
题目4985: 281.0÷823.0=
题目4986: 545.0×127.0+256.0=
题目4987: 942.0+122.0=
题目4988: 917.0+840.0=
题目4989: 745.0+745.0=
题目4990: 836.0+554.0=
题目4991: 571.0÷188.0×73.0=
题目4992: 195.0+35.0÷782.0+448.0=
题目4993: 547.0÷967.0=
题目4994: 680.0+808.0=
题目4995: 637.0-195.0=
题目4996: 64.0×71.0=
题目4997: 999.0×209.0=
题目4998: 448.0×430.0=
题目4999: 355.0+905.0=
题目5000: 509.0+946.0=
题目5001: 530.0+697.0÷224.0+841.0=
题目5002: (886.0-707.0)÷485.0=
题目5003: 234.0÷650.0=
题目5004: 811.0×928.0=
题目5005: 107.0+15.0=
题目5006: 569.0+85.0+58.0=
题目5007: 571.0-66.0+56.0=
题目5008: 238.0×354.0=
题目5009: 537.0+94.0=
题目5010: 375.0-415.0+892.0=
题目5011: 893.0×815.0+411.0=
题目5012: 931.0÷991.0÷462.0=
题目5013: 70.0×681.0=
题目5014: 279.0÷244.0=
题目5015: (522.0-285.0)×455.0=
题目5016: 901.0+162.0+679.0+873.0=
题目5017: 11.0-626.0+766.0=
题目5018: 146.0÷815.0=
题目5019: 282.0+735.0×395.0=
题目5020: 448.0-219.0-92.0=
题目5021: 576.0+527.0×47.0=
题目5022: 528.0+669.0÷46.0=
题目5023: 212.0+406.0=
题目5024: 357.0×414.0=
题目5025: 838.0+98.0+554.0=
题目5026: 931.0+949.0=
题目5027: 603.0+926.0×655.0+582.0=
题目5028: 605.0×325.0+968.0=
题目5029: 426.0÷800.0+552.0=
题目5030: 511.0-363.0=
题目5031: 771.0×127.0=
题目5032: 922.0×172.0×527.0=
题目5033: 699.0×325.0=
题目5034: 16.0+674.0=
题目5035: 639.0+198.0=
题目5036: 129.0×309.0=
题目5037: 862.0×75.0=
题目5038: 298.0÷771.0=
题目5039: 638.0÷152.0×998.0=
题目5040: 998.0-468.0=
题目5041: 823.0×841.0=
题目5042: 299.0×655.0=
题目5043: 848.0-677.0=
题目5044: 773.0+967.0=
题目5045: 636.0÷220.0=
题目5046: 130.0÷876.0=
题目5047: 310.0÷945.0×627.0=
题目5048: 445.0-84.0=
题目5049: 876.0÷59.0×40.0=
题目5050: 415.0+625.0=
题目5051: 426.0×894.0=
题目5052: 92.0÷276.0÷515.0=
题目5053: 381.0×29.0=
题目5054: 462.0×492.0+209.0=
题目5055: 584.0-153.0=
题目5056: 225.0+568.0-184.0=
题目5057: 162.0+616.0÷628.0×176.0=
题目5058: 206.0+795.0+827.0=
题目5059: 820.0-30.0+131.0=
题目5060: 948.0×60.0+287.0=
题目5061: 906.0+980.0×462.0+89.0=
题目5062: 853.0+685.0÷389.0-206.0=
题目5063: 882.0-727.0=
题目5064: 852.0-172.0+387.0=
题目5065: (407.0-250.0)÷292.0=
题目5066: 919.0+30.0=
题目5067: 518.0÷263.0=
题目5068: 721.0×243.0=
题目5069: (950.0-155.0)÷884.0=
题目5070: (924.0-10.0)÷8.0=
题目5071: 587.0+371.0÷279.0=
题目5072: 526.0-490.0+348.0=
题目5073: 263.0÷650.0=
题目5074: 163.0+501.0+562.0=
题目5075: (883.0-572.0)×60.0=
题目5076: 968.0×464.0=
题目5077: 584.0+353.0×368.0=
题目5078: 375.0+180.0÷881.0×307.0=
题目5079: 851.0+47.0×374.0=
题目5080: 880.0×815.0=
题目5081: 234.0÷950.0=
题目5082: (755.0-155.0)÷690.0=
题目5083: 925.0-447.0=
题目5084: 838.0-134.0=
题目5085: 14.0×22.0=
题目5086: 903.0÷56.0=
题目5087: 661.0+966.0=
题目5088: 929.0×137.0×387.0=
题目5089: (808.0-160.0)÷550.0=
题目5090: 66.0÷444.0÷754.0=
题目5091: 584.0-40.0+460.0=
题目5092: 782.0+705.0+819.0+937.0=
题目5093: 625.0-516.0-71.0=
题目5094: 62.0×402.0+773.0=
题目5095: 176.0+281.0-124.0=
题目5096: 722.0×961.0+358.0=
题目5097: 576.0×118.0+562.0=
题目5098: 299.0÷309.0=
题目5099: 887.0-350.0=
题目5100: 828.0÷133.0=
题目5101: 523.0-462.0=
题目5102: 406.0+814.0=
题目5103: 848.0÷852.0+216.0=
题目5104: 702.0+232.0×583.0=
题目5105: 716.0×783.0=
题目5106: 784.0+353.0=
题目5107: 765.0×910.0+466.0=
题目5108: 632.0-515.0=
题目5109: 284.0+1.0+701.0=
题目5110: 75.0-57.0=
题目5111: 375.0+985.0=
题目5112: 920.0÷434.0=
题目5113: 737.0-142.0=
题目5114: 11.0÷227.0=
题目5115: 683.0÷178.0=
题目5116: 837.0÷125.0=
题目5117: 120.0×847.0=
题目5118: 421.0+140.0×993.0=
题目5119: 818.0-5.0=
题目5120: 325.0×478.0÷874.0=
题目5121: 563.0+586.0+847.0+188.0=
题目5122: (126.0-5.0)÷613.0=
题目5123: 752.0×283.0=
题目5124: 736.0÷198.0×994.0=
题目5125: 502.0÷683.0=
题目5126: 778.0÷709.0=
题目5127: 310.0+374.0=
题目5128: 904.0÷30.0÷519.0=
题目5129: 303.0÷349.0+22.0=
题目5130: 433.0×510.0=
题目5131: 807.0+956.0-890.0+684.0=
题目5132: 348.0-125.0=
题目5133: 767.0-437.0+538.0=
题目5134: 906.0×276.0×142.0=
题目5135: 219.0-104.0=
题目5136: 929.0+372.0=
题目5137: 598.0÷641.0=
题目5138: 403.0+556.0×704.0+817.0=
题目5139: 991.0+82.0+817.0=
题目5140: 772.0×940.0×684.0=
题目5141: (951.0-744.0)×256.0=
题目5142: 1000.0÷386.0×988.0=
题目5143: 728.0-184.0=
题目5144: 761.0×868.0+544.0=
题目5145: 667.0-44.0=
题目5146: 162.0+430.0+562.0=
题目5147: 378.0-293.0=
题目5148: 880.0-219.0=
题目5149: 725.0×409.0=
题目5150: 227.0-20.0=
题目5151: 594.0÷474.0+907.0=
题目5152: 947.0×155.0+703.0=
题目5153: 742.0+822.0+709.0=
题目5154: 470.0÷880.0+225.0=
题目5155: 353.0×598.0=
题目5156: 164.0-105.0=
题目5157: 328.0-51.0=
题目5158: 637.0+619.0=
题目5159: 956.0÷117.0×145.0=
题目5160: 512.0-262.0+935.0=
题目5161: 362.0×227.0=
题目5162: 631.0+523.0=
题目5163: 669.0+554.0=
题目5164: 201.0+587.0-201.0=
题目5165: 974.0+838.0=
题目5166: 709.0÷785.0+841.0=
题目5167: 449.0+632.0×547.0=
题目5168: 261.0×930.0=
题目5169: 197.0×92.0=
题目5170: 740.0-649.0=
题目5171: 222.0+402.0=
题目5172: 437.0×912.0×174.0=
题目5173: 116.0×977.0=
题目5174: 65.0+936.0=
题目5175: 928.0×800.0×184.0=
题目5176: 459.0÷721.0=
题目5177: 782.0-385.0=
题目5178: 681.0-13.0=
题目5179: 434.0+181.0=
题目5180: 79.0+138.0=
题目5181: 162.0÷296.0=
题目5182: 924.0-804.0=
题目5183: 861.0-576.0=
题目5184: 285.0+743.0=
题目5185: 769.0×488.0=
题目5186: 229.0+189.0=
题目5187: 990.0+959.0-969.0=
题目5188: 620.0+461.0-291.0=
题目5189: 217.0-22.0=
题目5190: 830.0÷796.0÷257.0=
题目5191: 989.0+882.0÷220.0+788.0=
题目5192: 959.0+504.0÷456.0-611.0=
题目5193: 677.0+749.0÷169.0=
题目5194: 509.0÷891.0=
题目5195: 402.0÷944.0=
题目5196: 842.0÷850.0=
题目5197: 818.0÷610.0=
题目5198: 217.0×493.0=
题目5199: 360.0-469.0+511.0=
题目5200: 70.0-52.0=
题目5201: (847.0-511.0)÷763.0=
题目5202: 991.0÷181.0=
题目5203: 702.0×486.0×330.0=
题目5204: 912.0-578.0=
题目5205: 971.0÷640.0=
题目5206: 749.0+883.0÷362.0×160.0=
题目5207: 836.0+176.0=
题目5208: 234.0÷654.0×321.0=
题目5209: 340.0×563.0=
题目5210: (371.0-289.0)×693.0=
题目5211: (934.0-580.0)÷630.0=
题目5212: 461.0÷222.0+925.0=
题目5213: (523.0-228.0)×780.0=
题目5214: 911.0×870.0=
题目5215: 732.0+757.0-775.0=
题目5216: 772.0+715.0-732.0=
题目5217: 819.0+556.0÷771.0×269.0=
题目5218: 146.0+267.0×156.0=
题目5219: 178.0×400.0×444.0=
题目5220: 100.0×398.0=
题目5221: 748.0+239.0=
题目5222: 657.0+71.0=
题目5223: 777.0+234.0-216.0+502.0=
题目5224: 521.0+155.0÷791.0×796.0=
题目5225: 894.0+272.0=
题目5226: 831.0×515.0=
题目5227: 252.0+277.0×84.0=
题目5228: 209.0+465.0=
题目5229: 667.0+701.0=
题目5230: 594.0÷852.0=
题目5231: 437.0×155.0=
题目5232: 931.0×403.0×567.0=
题目5233: 495.0×813.0÷224.0=
题目5234: (980.0-371.0)×486.0=
题目5235: 84.0+366.0=
题目5236: 973.0÷6.0÷99.0=
题目5237: 463.0÷334.0=
题目5238: 685.0+819.0=
题目5239: (226.0-173.0)×348.0=
题目5240: (680.0-143.0)÷771.0=
题目5241: 687.0+469.0-596.0=
题目5242: 484.0-213.0=
题目5243: 458.0+767.0=
题目5244: 700.0+208.0×74.0=
题目5245: 229.0+694.0=
题目5246: 336.0+769.0-515.0=
题目5247: 730.0-660.0=
题目5248: 955.0-576.0=
题目5249: 649.0-18.0=
题目5250: 242.0+919.0=
题目5251: 127.0×263.0=
题目5252: (553.0-1.0)×71.0=
题目5253: 711.0×557.0+942.0=
题目5254: 642.0+449.0-806.0=
题目5255: 7.0+715.0=
题目5256: 11.0+89.0=
题目5257: 6.0×123.0=
题目5258: 563.0÷677.0=
题目5259: 496.0-53.0=
题目5260: 825.0×37.0=
题目5261: 541.0×397.0÷857.0=
题目5262: (546.0-228.0)÷902.0=
题目5263: 753.0-725.0+479.0=
题目5264: 998.0÷592.0=
题目5265: 740.0-210.0=
题目5266: 652.0÷162.0=
题目5267: 893.0÷512.0=
题目5268: 986.0+146.0=
题目5269: 561.0×160.0=
题目5270: 868.0-464.0=
题目5271: 233.0÷380.0÷745.0=
题目5272: 654.0-998.0+893.0=
题目5273: 488.0+839.0=
题目5274: 618.0+325.0+368.0+100.0=
题目5275: 229.0+133.0÷898.0+41.0=
题目5276: 294.0÷827.0+552.0=
题目5277: (467.0-450.0)×70.0=
题目5278: 1000.0+510.0×965.0+368.0=
题目5279: (202.0-61.0)÷993.0=
题目5280: 661.0÷777.0=
题目5281: 367.0-395.0+278.0=
题目5282: 531.0+224.0=
题目5283: 997.0÷40.0=
题目5284: 663.0÷502.0=
题目5285: 865.0+353.0×294.0=
题目5286: (747.0-146.0)÷941.0=
题目5287: 176.0+154.0-980.0+700.0=
题目5288: 863.0÷515.0×290.0=
题目5289: 560.0+791.0=
题目5290: (709.0-611.0)×880.0=
题目5291: 112.0×370.0+432.0=
题目5292: 621.0+842.0÷280.0+805.0=
题目5293: 600.0+600.0×607.0=
题目5294: 973.0+916.0+958.0=
题目5295: 347.0÷376.0=
题目5296: 869.0-150.0=
题目5297: 695.0-144.0=
题目5298: 986.0-513.0=
题目5299: 599.0÷419.0=
题目5300: 326.0÷966.0+321.0=
题目5301: 812.0+388.0÷263.0=
题目5302: 490.0+759.0=
题目5303: 32.0+437.0=
题目5304: 681.0÷631.0+68.0=
题目5305: 247.0÷486.0=
题目5306: 327.0+897.0=
题目5307: 527.0×487.0+266.0=
题目5308: 712.0-432.0=
题目5309: 550.0+947.0×499.0=
题目5310: 324.0-96.0=
题目5311: 578.0×222.0+88.0=
题目5312: 611.0+701.0=
题目5313: 918.0+877.0=
题目5314: 967.0×110.0+171.0=
题目5315: 555.0×473.0=
题目5316: 157.0÷73.0=
题目5317: 455.0÷228.0=
题目5318: 8.0+396.0=
题目5319: 727.0+17.0÷92.0-320.0=
题目5320: 334.0÷892.0=
题目5321: 348.0+558.0÷656.0=
题目5322: 915.0+655.0=
题目5323: 381.0÷459.0=
题目5324: 186.0×476.0+959.0=
题目5325: (783.0-189.0)÷726.0=
题目5326: 874.0+870.0=
题目5327: 443.0-250.0=
题目5328: 239.0+494.0÷905.0=
题目5329: (714.0-554.0)÷177.0=
题目5330: 633.0+246.0=
题目5331: (364.0-133.0)÷881.0=
题目5332: 359.0×704.0×306.0=
题目5333: 765.0÷2.0÷450.0=
题目5334: 464.0×501.0+267.0=
题目5335: 621.0-219.0=
题目5336: 170.0+681.0=
题目5337: 52.0÷288.0=
题目5338: 668.0÷381.0÷866.0=
题目5339: 919.0+953.0÷294.0×823.0=
题目5340: (850.0-82.0)÷823.0=
题目5341: 367.0÷727.0=
题目5342: 92.0÷255.0×60.0=
题目5343: 193.0×273.0+744.0=
题目5344: 582.0×970.0÷133.0=
题目5345: 382.0+30.0÷118.0×448.0=
题目5346: 531.0+162.0=
题目5347: 683.0÷168.0÷428.0=
题目5348: 406.0×930.0×122.0=
题目5349: 704.0+898.0+453.0+190.0=
题目5350: 174.0÷476.0÷850.0=
题目5351: 904.0×890.0=
题目5352: 676.0÷845.0=
题目5353: 422.0-279.0=
题目5354: 254.0÷477.0=
题目5355: 922.0×966.0=
题目5356: 157.0×864.0÷602.0=
题目5357: 455.0+111.0×827.0+707.0=
题目5358: 563.0+580.0÷197.0=
题目5359: 280.0÷768.0=
题目5360: (701.0-391.0)×623.0=
题目5361: 788.0-88.0+316.0=
题目5362: 455.0+623.0=
题目5363: 9.0-52.0+98.0=
题目5364: 866.0×33.0+846.0=
题目5365: 115.0+581.0=
题目5366: 980.0÷248.0=
题目5367: 403.0÷899.0÷889.0=
题目5368: 907.0+399.0=
题目5369: 450.0÷596.0=
题目5370: 345.0+39.0÷225.0=
题目5371: 626.0+249.0-180.0=
题目5372: 295.0+263.0-374.0+991.0=
题目5373: 263.0+959.0=
题目5374: 145.0÷412.0=
题目5375: 863.0-305.0+481.0=
题目5376: 521.0×341.0=
题目5377: 663.0-43.0=
题目5378: 903.0×580.0+994.0=
题目5379: 606.0×391.0÷670.0=
题目5380: 583.0+548.0=
题目5381: 164.0+87.0÷340.0=
题目5382: 436.0-231.0=
题目5383: (498.0-480.0)÷913.0=
题目5384: 203.0+534.0-700.0=
题目5385: 510.0÷735.0=
题目5386: 1000.0÷42.0=
题目5387: 700.0÷915.0=
题目5388: 214.0-164.0=
题目5389: 134.0÷636.0÷726.0=
题目5390: 804.0+917.0×569.0=
题目5391: 405.0-80.0=
题目5392: 955.0+489.0=
题目5393: 674.0-473.0=
题目5394: 19.0+947.0×213.0=
题目5395: 607.0×982.0+156.0=
题目5396: 36.0+493.0=
题目5397: 71.0÷479.0=
题目5398: 891.0+697.0×947.0=
题目5399: (920.0-859.0)×690.0=
题目5400: 999.0+337.0+655.0=
题目5401: 963.0+455.0=
题目5402: 507.0×23.0=
题目5403: 260.0×369.0=
题目5404: 730.0÷487.0×880.0=
题目5405: 277.0÷943.0=
题目5406: 415.0+111.0-598.0+436.0=
题目5407: 222.0÷697.0=
题目5408: 388.0+52.0=
题目5409: 909.0×969.0+663.0=
题目5410: 738.0+885.0+168.0=
题目5411: (907.0-716.0)÷118.0=
题目5412: 924.0÷729.0÷262.0=
题目5413: 652.0÷546.0=
题目5414: (867.0-454.0)×759.0=
题目5415: 799.0+675.0=
题目5416: 923.0+121.0=
题目5417: 173.0+693.0=
题目5418: 378.0+614.0+262.0=
题目5419: 137.0+450.0÷213.0=
题目5420: 519.0-224.0=
题目5421: 876.0×123.0+682.0=
题目5422: 759.0+732.0=
题目5423: 797.0×171.0=
题目5424: 726.0×913.0+830.0=
题目5425: 767.0÷590.0×765.0=
题目5426: 705.0-41.0=
题目5427: 927.0×439.0+234.0=
题目5428: 560.0÷799.0=
题目5429: 492.0+68.0=
题目5430: (994.0-926.0)÷229.0=
题目5431: 960.0+785.0=
题目5432: 450.0+747.0+233.0=
题目5433: 475.0×876.0=
题目5434: 74.0-459.0+626.0=
题目5435: 790.0-213.0+543.0=
题目5436: 116.0×759.0=
题目5437: 228.0+70.0=
题目5438: 534.0+182.0=
题目5439: 747.0×429.0=
题目5440: 274.0+661.0=
题目5441: 402.0+934.0×894.0=
题目5442: 596.0×402.0=
题目5443: 313.0×524.0+594.0=
题目5444: 636.0+461.0=
题目5445: 749.0+135.0-191.0=
题目5446: 157.0-144.0=
题目5447: 880.0-14.0=
题目5448: 310.0+21.0×192.0=
题目5449: 906.0×654.0+401.0=
题目5450: 286.0+956.0÷270.0=
题目5451: 84.0÷644.0=
题目5452: 639.0÷23.0+921.0=
题目5453: 532.0÷646.0+892.0=
题目5454: 915.0×833.0=
题目5455: 307.0×469.0=
题目5456: (431.0-202.0)÷526.0=
题目5457: 914.0-323.0=
题目5458: 58.0+475.0=
题目5459: 854.0-469.0=
题目5460: 798.0×488.0×571.0=
题目5461: 72.0+454.0÷445.0=
题目5462: 462.0-19.0=
题目5463: 925.0÷219.0=
题目5464: 975.0×842.0+239.0=
题目5465: 472.0+795.0=
题目5466: (406.0-11.0)÷181.0=
题目5467: 743.0-136.0=
题目5468: 515.0÷178.0=
题目5469: 264.0÷948.0÷508.0=
题目5470: 184.0÷38.0=
题目5471: 151.0×27.0=
题目5472: 677.0+669.0×646.0=
题目5473: 181.0×883.0+473.0=
题目5474: 15.0+438.0=
题目5475: 981.0×182.0×298.0=
题目5476: (992.0-66.0)÷355.0=
题目5477: 908.0-43.0-653.0=
题目5478: 629.0+455.0=
题目5479: 730.0÷543.0×562.0=
题目5480: 486.0÷288.0÷978.0=
题目5481: 955.0+138.0=
题目5482: 957.0-735.0=
题目5483: 426.0÷201.0+501.0=
题目5484: (627.0-391.0)×876.0=
题目5485: 798.0+639.0÷889.0=
题目5486: 589.0÷782.0=
题目5487: 421.0+898.0+694.0=
题目5488: 839.0+860.0+82.0=
题目5489: 231.0+100.0=
题目5490: 343.0÷355.0=
题目5491: 393.0×337.0+19.0=
题目5492: 255.0-71.0+60.0=
题目5493: 947.0÷386.0+400.0=
题目5494: 692.0-463.0=
题目5495: 656.0×549.0×109.0=
题目5496: (656.0-435.0)×340.0=
题目5497: 122.0+744.0=
题目5498: 427.0+143.0=
题目5499: 918.0÷201.0=
题目5500: 271.0×95.0+708.0=
题目5501: 145.0÷24.0=
题目5502: 234.0+147.0=
题目5503: 545.0×656.0÷380.0=
题目5504: 359.0×210.0=
题目5505: (223.0-131.0)÷516.0=
题目5506: 378.0+270.0-216.0=
题目5507: 615.0+801.0-670.0=
题目5508: 989.0÷579.0=
题目5509: 874.0+627.0=
题目5510: 542.0×585.0+306.0=
题目5511: 977.0-134.0=
题目5512: 893.0÷440.0=
题目5513: 222.0+154.0×599.0+655.0=
题目5514: 493.0+509.0-219.0=
题目5515: 276.0×959.0=
题目5516: 686.0+953.0×312.0+601.0=
题目5517: 823.0+775.0÷924.0×738.0=
题目5518: 929.0-463.0=
题目5519: 936.0+967.0+6.0+22.0=
题目5520: 972.0-201.0-307.0=
题目5521: 69.0×492.0=
题目5522: 257.0-237.0=
题目5523: 727.0+784.0×830.0=
题目5524: 348.0×53.0=
题目5525: 785.0-207.0=
题目5526: (676.0-321.0)÷848.0=
题目5527: 385.0÷626.0×56.0=
题目5528: 99.0+257.0+293.0=
题目5529: 689.0-596.0=
题目5530: 262.0+931.0×738.0=
题目5531: 837.0-787.0=
题目5532: 837.0-353.0=
题目5533: 388.0÷924.0+409.0=
题目5534: 2.0+292.0=
题目5535: 314.0+295.0=
题目5536: 433.0×769.0÷127.0=
题目5537: 263.0÷803.0=
题目5538: 340.0×556.0+539.0=
题目5539: 234.0+43.0÷619.0×524.0=
题目5540: 175.0+141.0×450.0+332.0=
题目5541: 236.0×77.0=
题目5542: 833.0÷169.0÷430.0=
题目5543: 761.0÷155.0=
题目5544: 710.0÷394.0÷222.0=
题目5545: 899.0+5.0×589.0=
题目5546: 681.0÷132.0÷736.0=
题目5547: 364.0÷154.0+722.0=
题目5548: 64.0×173.0+681.0=
题目5549: 31.0×621.0÷733.0=
题目5550: 143.0÷785.0=
题目5551: 444.0×134.0=
题目5552: 191.0÷24.0=
题目5553: 704.0-675.0=
题目5554: 233.0×865.0×134.0=
题目5555: 890.0-370.0=
题目5556: 161.0÷231.0=
题目5557: 443.0÷439.0÷5.0=
题目5558: 405.0×483.0÷383.0=
题目5559: 613.0÷319.0×594.0=
题目5560: 470.0-193.0=
题目5561: 806.0÷674.0=
题目5562: 352.0+376.0=
题目5563: 455.0+589.0=
题目5564: 572.0+167.0=
题目5565: 97.0×633.0=
题目5566: 558.0×20.0+727.0=
题目5567: 137.0÷462.0=
题目5568: 474.0×540.0=
题目5569: 577.0-212.0+948.0=
题目5570: 963.0×623.0=
题目5571: 558.0+570.0÷197.0=
题目5572: 105.0+647.0×223.0=
题目5573: 521.0÷223.0=
题目5574: 373.0×20.0×91.0=
题目5575: 445.0×661.0=
题目5576: 987.0×945.0=
题目5577: (860.0-484.0)×143.0=
题目5578: 973.0÷130.0×639.0=
题目5579: 761.0÷237.0=
题目5580: 370.0+539.0÷326.0=
题目5581: 736.0-182.0=
题目5582: 310.0+347.0÷367.0=
题目5583: 42.0×37.0=
题目5584: 756.0+128.0×61.0=
题目5585: 506.0÷63.0×869.0=
题目5586: 214.0+297.0+432.0=
题目5587: 863.0+545.0+900.0=
题目5588: 851.0÷285.0=
题目5589: 515.0×815.0×43.0=
题目5590: 212.0-132.0+10.0=
题目5591: 459.0×761.0÷958.0=
题目5592: 695.0+880.0=
题目5593: 571.0-433.0+241.0=
题目5594: 284.0+399.0×795.0=
题目5595: 317.0-256.0=
题目5596: 820.0÷199.0=
题目5597: 907.0+729.0×914.0=
题目5598: 174.0×754.0=
题目5599: 834.0-124.0=
题目5600: 131.0-26.0=
题目5601: 324.0-276.0=
题目5602: 267.0+640.0×228.0=
题目5603: 513.0÷313.0=
题目5604: (981.0-603.0)÷251.0=
题目5605: 64.0÷238.0÷281.0=
题目5606: 214.0+643.0=
题目5607: 183.0+644.0÷618.0=
题目5608: 302.0-85.0=
题目5609: 103.0-7.0=
题目5610: 774.0+926.0=
题目5611: 77.0÷142.0=
题目5612: 876.0×507.0=
题目5613: 293.0×142.0+406.0=
题目5614: 394.0×739.0÷680.0=
题目5615: 83.0×364.0=
题目5616: 376.0-977.0+616.0=
题目5617: 309.0÷940.0+569.0=
题目5618: 855.0+694.0=
题目5619: 705.0+968.0=
题目5620: 493.0-368.0=
题目5621: 151.0×105.0+333.0=
题目5622: 409.0+949.0×39.0+80.0=
题目5623: 789.0+203.0=
题目5624: 325.0×234.0÷76.0=
题目5625: 302.0+967.0×984.0=
题目5626: 44.0+866.0=
题目5627: 178.0+405.0×952.0=
题目5628: 718.0÷118.0=
题目5629: 591.0+393.0÷409.0=
题目5630: 303.0-136.0+193.0=
题目5631: 43.0÷992.0×672.0=
题目5632: 121.0+707.0+665.0+851.0=
题目5633: (641.0-202.0)×196.0=
题目5634: 455.0×380.0=
题目5635: 944.0-599.0=
题目5636: 622.0+373.0×198.0=
题目5637: 250.0÷953.0÷745.0=
题目5638: 572.0×295.0=
题目5639: 976.0÷559.0=
题目5640: 766.0-470.0=
题目5641: 530.0+997.0-933.0=
题目5642: 705.0×685.0=
题目5643: 258.0×560.0+975.0=
题目5644: 837.0-257.0=
题目5645: 971.0×490.0÷919.0=
题目5646: 929.0-455.0=
题目5647: 619.0+435.0×320.0=
题目5648: 411.0÷652.0×947.0=
题目5649: (399.0-85.0)÷540.0=
题目5650: 778.0-282.0=
题目5651: 128.0÷632.0=
题目5652: 174.0+423.0÷851.0=
题目5653: 270.0+478.0=
题目5654: 92.0÷349.0×439.0=
题目5655: 998.0-647.0=
题目5656: 925.0×298.0=
题目5657: 644.0+797.0=
题目5658: 720.0×626.0×804.0=
题目5659: 472.0+958.0=
题目5660: 541.0+98.0=
题目5661: 923.0+208.0×520.0=
题目5662: 723.0+549.0÷169.0=
题目5663: 550.0÷484.0×391.0=
题目5664: 671.0÷188.0=
题目5665: 57.0×339.0÷532.0=
题目5666: 600.0+429.0-461.0=
题目5667: 133.0+742.0÷229.0=
题目5668: 16.0+787.0=
题目5669: (862.0-738.0)÷537.0=
题目5670: 210.0÷781.0=
题目5671: 526.0÷771.0+673.0=
题目5672: 320.0×301.0=
题目5673: 221.0×942.0=
题目5674: (650.0-628.0)×17.0=
题目5675: (768.0-311.0)×430.0=
题目5676: 783.0÷96.0=
题目5677: 21.0×229.0÷44.0=
题目5678: 699.0-48.0-82.0=
题目5679: 909.0÷944.0×316.0=
题目5680: 964.0×332.0×116.0=
题目5681: 382.0+162.0×560.0=
题目5682: 299.0×340.0=
题目5683: 872.0×260.0÷56.0=
题目5684: 445.0+895.0=
题目5685: 514.0+133.0=
题目5686: 784.0÷291.0=
题目5687: 835.0+14.0=
题目5688: 211.0+995.0=
题目5689: 767.0÷513.0=
题目5690: 694.0+136.0-619.0=
题目5691: 511.0×913.0+438.0=
题目5692: 167.0÷507.0×585.0=
题目5693: 696.0+808.0=
题目5694: 2.0×196.0×94.0=
题目5695: 321.0÷331.0=
题目5696: 480.0×974.0÷975.0=
题目5697: 772.0-345.0-164.0=
